term,coefficient,std_err,z_value,p_value,odds_ratio,direction
ease_of_use_overall_tier_high,2.032040364349835,0.17090266816659153,11.89004470292444,1.3333520148753464e-32,7.629637728978525,positive
price_value_ratio_tier_high,1.2132375162152922,0.15084028772061764,8.043192800469981,8.752745175063615e-16,3.3643592072645183,positive
waterproof_rating_ipx8_tier_mid,0.8937587599182885,0.07752318300697332,11.528922384906378,9.431686826361813e-31,2.4442999426841463,positive
blade_sharpness_tier_high,0.8915492022241313,0.20689819635164847,4.309120224077912,1.6390525512670683e-05,2.4389050832604084,positive
rechargeable_design_tier_mid,0.6162035557134299,0.08876614012723484,6.941876202234111,3.869262303388029e-12,1.851884104520884,positive
motor_power_rpm_tier_high,0.5414844758518049,0.17052081905922792,3.175474284249879,0.001495917798975403,1.718556124624425,positive
ease_of_use_overall_tier_mid,0.5148334160993123,0.08709606040476933,5.911098776531118,3.398331603045096e-09,1.6733597237881677,positive
price_value_ratio_tier_mid,0.36785417034218776,0.0887244033288575,4.146031492358807,3.3828731939150316e-05,1.4446313535162103,positive
waterproof_rating_ipx8_tier_high,0.33653973230659884,0.28625870414813054,1.1756489057969373,0.23973520393296732,1.4000944971485794,positive
blade_hair_pulling_tier_mid,0.29612899068840337,0.15096790038326122,1.9615361274590337,0.049816514905835094,1.3446435921486501,positive
rechargeable_design_tier_high,0.28277173390638494,0.1748105255416037,1.6175898621109472,0.10575101533731218,1.3268022632781011,positive
motor_power_rpm_tier_mid,0.18814197224126936,0.11672929847454229,1.6117802017143243,0.10700977790481671,1.207004864371733,positive
blade_sharpness_tier_mid,0.11336223008519389,0.08301685481222112,1.3655327022640413,0.1720856819798342,1.1200375707817218,positive
adjustable_comb_settings_tier_mid,-0.9470390418914604,0.12638863024036015,-7.493071489820125,6.728022964162005e-14,0.3878878444303632,negative
blade_hair_pulling_tier_high,-1.461654738037644,0.18649880656820503,-7.8373409724908765,4.6018719786010455e-15,0.23185230230674442,negative
adjustable_comb_settings_tier_high,-3.4765261523494604,0.2280832260948485,-15.242357852759175,1.850692519124646e-52,0.03091461738664629,negative
