product,rechargeable_design,blade_sharpness,blade_hair_pulling,motor_power_rpm,waterproof_rating_ipx8,adjustable_comb_settings,ease_of_use_overall,price_value_ratio,review_count,avg_rating
B001K85BN2,0.053,0.005,0.005,0.015,0.01,0.02,0.01,0.01,395,3.3746835443037977
B001K85BNC,0.0,0.013,0.0,0.025,0.013,0.0,0.013,0.0,159,3.9685534591194966
B008KEJ1LM,0.54,0.582,0.59,0.418,0.124,0.504,0.716,0.18,500,3.0
B016JNKVHI,0.037,0.019,0.019,0.0,0.009,0.042,0.028,0.0,215,4.195348837209302
B0742G961R,0.051,0.0,0.0,0.0,0.0,0.051,0.051,0.0,39,4.589743589743589
B07CYQVK16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3.1333333333333333
B07CYZH2XC,0.009,0.0,0.018,0.0,0.018,0.0,0.018,0.0,228,3.495614035087719
B07CZ3KDN9,0.0,0.065,0.129,0.0,0.0,0.065,0.0,0.0,31,4.064516129032258
B07YFFLDQB,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.0,99,4.434343434343434
B0823PD6XD,1.486,0.914,1.229,0.943,0.457,0.914,1.029,0.229,35,4.4
B08LGGMP5W,0.06,0.013,0.027,0.02,0.0,0.04,0.047,0.013,299,3.0066889632107023
B08P4HHSZT,0.208,0.334,0.456,0.204,0.09,0.188,0.396,0.204,500,3.0
B09XVP6YPM,0.431,0.478,0.625,0.279,0.088,0.296,0.827,0.229,341,2.961876832844575
B0B7R5TJLD,0.077,0.045,0.026,0.013,0.0,0.013,0.0,0.013,155,3.6193548387096772
B0BL2YWH3N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,4.325581395348837
B0BQ1GZY7H,0.389,0.553,0.463,0.269,0.144,0.587,0.768,0.357,499,3.0
B0BVQDYVTS,0.028,0.009,0.028,0.019,0.0,0.0,0.009,0.019,213,3.8779342723004695
B0BVVKKXFZ,0.812,1.0,1.219,0.781,0.25,0.594,1.125,0.5,32,4.21875
B0BY18J8D9,0.078,0.017,0.052,0.017,0.052,0.034,0.052,0.017,116,3.9827586206896552
B0BY1KRJZ1,0.0,0.017,0.017,0.0,0.0,0.0,0.0,0.017,115,4.156521739130435
B0CGHWFF71,0.444,0.416,0.556,0.424,0.104,0.304,0.676,0.25,500,3.0
B0CQKZ3N5G,0.33,0.468,0.7,0.236,0.08,0.208,0.49,0.284,500,3.0
B0D97YBP2X,0.578,0.472,0.497,0.174,0.137,0.727,0.77,0.286,161,3.9130434782608696
B0DSB44YJZ,0.009,0.0,0.018,0.0,0.018,0.0,0.018,0.0,228,3.495614035087719
B0F2M2NSBX,0.013,0.0,0.052,0.013,0.0,0.0,0.039,0.0,155,3.296774193548387
B0F2RSTDSJ,0.918,0.89,1.233,0.658,0.274,0.795,0.89,0.699,73,4.465753424657534
B0FCYBJK6T,0.392,0.458,0.729,0.322,0.106,0.209,0.579,0.425,273,3.3663003663003663
B0FHXTJ8JN,0.0,0.611,0.222,0.222,0.111,0.333,0.333,0.0,18,3.8333333333333335
B0FJS3QR1W,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.014,139,4.330935251798561
B0FJS3TF3V,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.014,139,4.330935251798561
B0FL267TCG,1.483,1.345,2.103,1.276,1.0,1.276,1.655,0.793,29,4.517241379310345
B0FQW4KWRD,0.0,0.0,0.056,0.0,0.0,0.056,0.0,0.056,36,3.9444444444444446
B0FQWLR3BW,0.0,0.0,0.056,0.0,0.0,0.056,0.0,0.056,36,3.9444444444444446
B0FS5TCR3B,1.234,0.785,1.089,0.861,0.608,0.709,1.329,0.829,158,4.284810126582278
B0G1Z1QKJ8,0.96,0.9,1.14,0.5,0.24,0.5,1.24,0.52,50,4.68
B0G492LXS9,0.009,0.0,0.018,0.0,0.018,0.0,0.018,0.0,228,3.495614035087719
B0GHS5T1Y3,0.597,0.712,0.91,0.455,0.24,0.236,0.678,0.292,233,3.467811158798283
B0GL2DKVQH,2.389,1.944,2.333,1.0,2.111,1.333,1.889,0.889,18,3.7777777777777777
B0GL2GP74J,1.5,2.312,2.562,1.5,1.125,1.25,2.0,1.125,16,4.1875
B0GLJRLS5G,0.788,0.808,1.374,0.465,0.414,0.828,1.091,0.283,99,4.909090909090909
