Run,A,B,C,D,E,F,G,H,total_utility,purchase_prob_raw,purchase_prob_norm,rank,est_price_usd
9,A1,B3,C3,D1,E3,F2,G1,H2,7.184,0.999242,0.055714,1,33.0
18,A2,B3,C3,D2,E1,F2,G3,H1,7.153,0.999218,0.055713,2,33.5
3,A1,B1,C3,D3,E3,F3,G3,H3,6.989,0.999079,0.055705,3,39.5
15,A2,B2,C3,D1,E2,F3,G2,H1,6.799,0.998886,0.055695,4,34.5
17,A2,B3,C2,D1,E3,F1,G2,H3,6.615,0.998662,0.055682,5,36.0
8,A1,B3,C2,D3,E2,F1,G3,H1,6.443,0.998411,0.055668,6,31.0
6,A1,B2,C3,D3,E1,F1,G2,H2,6.383,0.998313,0.055663,7,29.5
12,A2,B1,C3,D2,E2,F1,G1,H3,6.204,0.997983,0.055644,8,30.5
5,A1,B2,C2,D2,E3,F3,G1,H1,6.104,0.997771,0.055632,9,31.0
16,A2,B3,C1,D3,E2,F3,G1,H2,6.047,0.997641,0.055625,10,33.0
14,A2,B2,C2,D3,E1,F2,G1,H3,5.91,0.997295,0.055606,11,30.5
7,A1,B3,C1,D2,E1,F3,G2,H3,5.738,0.996789,0.055578,12,28.0
11,A2,B1,C2,D1,E1,F3,G3,H2,5.603,0.996327,0.055552,13,27.5
2,A1,B1,C2,D2,E2,F2,G2,H2,5.549,0.996124,0.055541,14,26.5
13,A2,B2,C1,D2,E3,F1,G3,H2,5.324,0.99515,0.055486,15,33.0
4,A1,B2,C1,D1,E2,F2,G3,H3,5.096,0.993916,0.055417,16,27.0
10,A2,B1,C1,D3,E3,F2,G2,H1,5.092,0.993892,0.055416,17,28.0
1,A1,B1,C1,D1,E1,F1,G1,H1,3.911,0.980372,0.054662,18,9.5
