review_id,unit_id,product,brand,segment,rating,lang,category,power_source_type_salience,rechargeable_design_salience,usb_c_charging_salience,charging_dock_base_salience,battery_type_aa_salience,battery_type_aaa_salience,battery_included_salience,battery_life_duration_salience,wall_plug_included_salience,motor_origin_salience,blade_material_japanese_steel_salience,blade_sharpness_salience,blade_hair_pulling_salience,motor_power_rpm_salience,blade_width_salience,blade_replaceable_salience,ceramic_blade_salience,cutting_precision_salience,foil_shaver_head_salience,waterproof_rating_ipx8_salience,shower_use_safe_salience,rinse_under_tap_salience,wet_dry_dual_use_salience,num_grooming_functions_salience,beard_trimming_function_salience,nose_hair_trimming_function_salience,ear_hair_trimming_function_salience,eyebrow_trimming_function_salience,mustache_trimming_function_salience,sideburn_trimming_function_salience,chest_body_hair_function_salience,peach_fuzz_removal_salience,pet_grooming_function_salience,haircutting_head_function_salience,adjustable_comb_settings_salience,min_cut_length_mm_salience,max_cut_length_mm_salience,guide_comb_variety_salience,stepless_adjustment_salience,speed_settings_salience,pen_shaped_design_salience,product_weight_g_salience,grip_ergonomics_salience,handle_slipperiness_salience,compact_size_salience,color_style_aesthetics_salience,protective_cap_cover_salience,dust_proof_cover_salience,blade_head_storage_base_salience,travel_suitability_salience,carrying_case_pouch_salience,storage_box_tray_salience,cordless_during_use_salience,total_attachments_count_salience,cleaning_brush_included_salience,maintenance_oil_included_salience,spare_blade_included_salience,instruction_manual_quality_salience,rounded_blade_tip_salience,painless_operation_salience,skin_friendly_blade_salience,low_noise_operation_salience,low_vibration_design_salience,build_quality_perception_salience,product_longevity_salience,plastic_material_quality_salience,motor_durability_salience,attachment_fitment_salience,ease_of_use_overall_salience,ease_of_cleaning_salience,head_change_ease_salience,on_off_switch_design_salience,initial_setup_ease_salience,gift_packaging_quality_salience,gift_suitability_men_salience,gift_suitability_women_salience,box_presentation_salience,price_value_ratio_salience,budget_tier_positioning_salience,competitor_brand_comparison_salience,primary_user_gender_salience,unisex_suitability_salience,beginner_friendliness_salience,couple_shared_use_salience,professional_home_positioning_salience,blade_small_head_size_salience,rotary_blade_type_salience,integrated_length_dial_salience,product_listing_accuracy_salience,brand_trust_loyalty_salience,repeat_purchase_intent_salience,cut_smoothness_salience,operation_vibration_feel_salience,thick_hair_handling_salience,trimming_evenness_salience,grey_hair_handling_salience,close_shave_capability_salience,fine_hair_precision_salience,social_gifting_context_salience,shareable_between_partners_salience,battery_independence_salience,narrow_cutter_head_salience,attachment_nose_head_size_fit_salience,product_dimensions_size_salience,battery_cover_ease_salience,multi_use_versatility_score_salience,maintenance_requirement_salience,waterproof_body_full_salience,grooming_kit_completeness_salience,lightweight_design_salience,eyebrow_comb_attachment_salience,quick_touch_up_design_salience,product_perceived_premium_salience,grooming_angle_control_salience
JP_R000001,JP_R000001,B001K85BN2,URBANER,0,3,ja,001_Beard_Mustache_Trimmers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP_R000002,JP_R000002,B001K85BN2,URBANER,1,4,ja,001_Beard_Mustache_Trimmers,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0
JP_R000003,JP_R000003,B001K85BN2,URBANER,0,3,ja,001_Beard_Mustache_Trimmers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP_R000004,JP_R000004,B001K85BN2,URBANER,0,5,ja,001_Beard_Mustache_Trimmers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
JP_R000005,JP_R000005,B001K85BN2,URBANER,0,1,ja,001_Beard_Mustache_Trimmers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP_R000006,JP_R000006,B001K85BN2,URBANER,0,4,ja,001_Beard_Mustache_Trimmers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0
JP_R000007,JP_R000007,B001K85BN2,URBANER,0,4,ja,001_Beard_Mustache_Trimmers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
JP_R000008,JP_R000008,B001K85BN2,URBANER,0,5,ja,001_Beard_Mustache_Trimmers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
JP_R000009,JP_R000009,B001K85BN2,URBANER,0,4,ja,001_Beard_Mustache_Trimmers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP_R000010,JP_R000010,B001K85BN2,URBANER,0,5,ja,001_Beard_Mustache_Trimmers,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
