attribute,F,p,significant,seg1_mean,seg2_mean,seg3_mean
total_attachments_count,2630.384,0.0,True,0.072,2.107,0.698
guide_comb_variety,2412.195,0.0,True,0.046,1.77,0.698
adjustable_comb_settings,1826.965,0.0,True,0.309,3.435,1.07
attachment_fitment,1723.208,0.0,True,0.124,2.034,0.814
product_dimensions_size,1004.693,0.0,True,0.25,2.207,0.698
power_source_type,543.117,0.0,True,0.659,2.74,1.721
rechargeable_design,497.535,0.0,True,0.366,2.002,1.047
beard_trimming_function,494.451,0.0,True,0.361,1.852,0.488
waterproof_rating_ipx8,460.933,0.0,True,0.028,0.765,0.07
battery_independence,346.662,0.0,True,0.086,0.79,0.558
cordless_during_use,330.303,0.0,True,0.083,0.75,0.558
instruction_manual_quality,282.292,0.0,True,0.054,0.643,0.372
usb_c_charging,253.532,0.0,True,0.026,0.431,0.093
compact_size,231.121,0.0,True,0.145,0.836,0.07
ease_of_use_overall,203.869,0.0,True,0.43,1.376,0.512
shower_use_safe,195.686,0.0,True,0.012,0.312,0.07
maintenance_requirement,177.533,0.0,True,0.153,0.807,0.581
rinse_under_tap,162.775,0.0,True,0.142,0.729,0.116
cleaning_brush_included,157.8,0.0,True,0.017,0.316,0.116
low_noise_operation,156.044,0.0,True,0.162,0.717,1.419
motor_power_rpm,155.801,0.0,True,0.277,0.948,1.767
ease_of_cleaning,144.71,0.0,True,0.065,0.471,0.093
eyebrow_trimming_function,143.602,0.0,True,0.157,0.816,0.093
price_value_ratio,136.439,0.0,True,0.546,1.48,0.581
competitor_brand_comparison,131.269,0.0,True,0.294,1.005,0.558
cut_smoothness,115.782,0.0,True,0.026,0.276,0.163
color_style_aesthetics,115.293,0.0,True,0.092,0.501,0.14
build_quality_perception,103.702,0.0,True,0.175,0.674,0.395
box_presentation,87.387,0.0,True,0.028,0.232,0.349
on_off_switch_design,81.479,0.0,True,0.068,0.326,0.605
trimming_evenness,79.835,0.0,True,0.014,0.185,0.163
battery_type_aa,76.638,0.0,True,0.014,0.175,0.349
product_perceived_premium,74.233,0.0,True,0.012,0.15,0.14
beginner_friendliness,73.684,0.0,True,0.073,0.358,0.14
brand_trust_loyalty,72.964,0.0,True,0.106,0.43,0.349
blade_sharpness,67.102,0.0,True,0.344,0.836,0.814
ear_hair_trimming_function,61.043,0.0,True,0.102,0.426,0.302
plastic_material_quality,60.559,0.0,True,0.027,0.209,0.163
motor_durability,55.245,0.0,True,0.296,0.661,1.163
grip_ergonomics,47.245,0.0,True,0.023,0.157,0.163
nose_hair_trimming_function,46.494,0.0,True,0.588,1.203,0.977
handle_slipperiness,44.624,0.0,True,0.017,0.102,0.302
gift_packaging_quality,41.057,0.0,True,0.051,0.226,0.07
painless_operation,40.96,0.0,True,0.036,0.185,0.07
maintenance_oil_included,39.689,0.0,True,0.047,0.205,0.279
initial_setup_ease,38.743,0.0,True,0.013,0.068,0.279
close_shave_capability,35.528,0.0,True,0.013,0.102,0.07
blade_hair_pulling,35.122,0.0,True,0.094,0.299,0.209
battery_type_aaa,33.668,0.0,True,0.006,0.077,0.116
product_longevity,32.326,0.0,True,0.378,0.756,0.209
speed_settings,30.833,0.0,True,0.009,0.077,0.116
battery_life_duration,28.968,0.0,True,0.047,0.184,0.07
rotary_blade_type,28.122,0.0,True,0.06,0.198,0.302
max_cut_length_mm,27.098,0.0,True,0.001,0.034,0.07
rounded_blade_tip,25.964,0.0,True,0.044,0.169,0.093
pet_grooming_function,17.924,0.0,True,0.006,0.053,0.047
spare_blade_included,7.449,0.00059,True,0.04,0.102,0.093
repeat_purchase_intent,5.757,0.00317,True,0.015,0.045,0.07
protective_cap_cover,2.949,0.05245,False,0.103,0.164,0.093
